"region","scenario","year","LT_GCAM","lt_gcam_area_ha","value_usd_per_ha","AvailableUnmanaged_area_ha","AvailableUnmanaged_value_usd_per_ha","SuitableProtectedUnmanaged_area_ha","SuitableProtectedUnmanaged_value_usd_per_ha","UnsuitableUnmanaged_area_ha","UnsuitableUnmanaged_value_usd_per_ha","AllManaged_area_ha","AllManaged_value_usd_per_ha","SuitProtUnman2AvailUnman_ratio","percent_conv_avail","SuitProtUnman2AvailUnman_value_ratio","prot_cost_norm","SuitProtUnman2Man_ratio","SuitProtUnman2Man_value_ratio","GCAM_region_ID"
"Africa_Eastern","Reference",1975,"AllUnmanaged",387546752.15669,12.0652339135184,278010621.2,14.0743101853041,49337377.3625204,15.4656355570503,60198753.59417,1e-05,94595108.47,123.250532177187,0.177465800225766,71.7360214355755,1.09885567061034,0.0988556706103395,0.521563727348199,0.125481288265892,2
"Africa_Eastern","Reference",1975,"AllUnmanagedForest",0,,0,,0,,0,,0,,,,,,,,2
"Africa_Eastern","Reference",1975,"AllUnmanagedGrass",327275167.68826,11.2224871597609,242763841.7,12.8982546029706,40471034.9622602,13.3826843951587,44040291.026,1e-05,0,,0.166709484735676,74.1772873923756,1.037557778715,0.0375577787150004,,,2
"Africa_Eastern","Reference",1975,"AllUnmanagedShrub",60271584.4684302,16.6413552746414,35246779.5,22.1744479927887,8866342.40026023,24.9734106340788,16158462.56817,1e-05,0,,0.251550426054109,58.479928495097,1.12622468176887,0.126224681768873,,,2
"Africa_Eastern","Reference",1975,"Cropland",37782169.27,44.8081221660602,0,,0,,0,,0,,,0,,,,,2
"Africa_Eastern","Reference",1975,"ManagedForest",16748621,406.474450496557,0,,0,,0,,0,,,0,,,,,2
"Africa_Eastern","Reference",1975,"Pasture",40064318.2,78.8248253875744,242763841.7,12.8982546029706,40471034.9622602,13.3826843951587,44040291.026,1e-05,0,,0.166709484735676,605.935287574668,1.037557778715,0.0375577787150004,,,2
"Africa_Eastern","Reference",1975,"Static",96773913.5,62.1195328233606,0,,0,,0,,0,,,0,,,,,2
"Africa_Northern","Reference",1975,"AllUnmanaged",84874987.3810416,12.8456355148664,25558208.595,33.5021689087693,6463652.47604163,36.2051027970097,52853126.31,1e-05,27508068.9949862,91.9932758594738,0.252899277037207,30.1127686538059,1.08067937021035,0.0806793702103532,0.234972962922979,0.393562490940267,3
"Africa_Northern","Reference",1975,"AllUnmanagedForest",0,,0,,0,,0,,0,,,,,,,,3
"Africa_Northern","Reference",1975,"AllUnmanagedGrass",76587239.32,11.6976923753344,20592731,33.5538813118668,5663043.92,36.1867951512599,50331464.4,1e-05,0,,0.275002083016575,26.8879400574273,1.07846823486444,0.0784682348644405,,,3
"Africa_Northern","Reference",1975,"AllUnmanagedShrub",8287748.06104163,23.4538001580906,4965477.595,33.2877082479412,800608.556041633,36.3346005411572,2521661.91,1e-05,0,,0.161234954890907,59.9134717709544,1.09153205352923,0.0915320535292291,,,3
"Africa_Northern","Reference",1975,"Cropland",23684321.9118752,81.6052428292154,0,,0,,0,,0,,,0,,,,,3
"Africa_Northern","Reference",1975,"ManagedForest",1838340.3,241.522351303184,0,,0,,0,,0,,,0,,,,,3
"Africa_Northern","Reference",1975,"Pasture",1993054,77.3346768134732,20592731,33.5538813118668,5663043.92,36.1867951512599,50331464.4,1e-05,0,,0.275002083016575,1033.22494021737,1.07846823486444,0.0784682348644405,,,3
"Africa_Northern","Reference",1975,"Static",462493618.125,61.7174866216544,0,,0,,0,,0,,,0,,,,,3
"Africa_Southern","Reference",1975,"AllUnmanaged",487653703.991893,9.41491842787276,350673647.72,9.81899906330715,114672533.530273,10.0107267819824,22307522.74162,1e-05,54847478.34,54.2946567680347,0.327006418291901,71.9103833005706,1.01952619787812,0.0195261978781209,2.09075306652052,0.184377752395629,4
"Africa_Southern","Reference",1975,"AllUnmanagedForest",49600516.1652725,6.27706095205837,43633801.4,6.37297898448096,5734999.50027252,5.80090051778076,231715.265,1e-05,0,,0.13143478945826,87.9704583206534,0.910233743419947,-0.0897662565800529,,,4
"Africa_Southern","Reference",1975,"AllUnmanagedGrass",404224339.91,7.97566106909475,289122135,8.31121746502104,102688554.24,7.9950416577998,12413650.67,1e-05,0,,0.35517361629887,71.5251672040265,0.961957943159121,-0.0380420568408789,,,4
"Africa_Southern","Reference",1975,"AllUnmanagedShrub",33828847.9166204,31.2135385902757,17917711.32,42.5405883376959,6248979.79000045,46.9977471427565,9662156.80662,1e-05,0,,0.348759932471133,52.965774548878,1.10477426333831,0.104774263338314,,,4
"Africa_Southern","Reference",1975,"Cropland",24840657.34,31.0886137161123,0,,0,,0,,0,,,0,,,,,4
"Africa_Southern","Reference",1975,"ManagedForest",12408800.1,114.845327697056,43633801.4,6.37297898448096,5734999.50027252,5.80090051778076,231715.265,1e-05,0,,0.13143478945826,351.635944236059,0.910233743419947,-0.0897662565800529,,,4
"Africa_Southern","Reference",1975,"Pasture",17598020.9,44.3555955063782,289122135,8.31121746502104,102688554.24,7.9950416577998,12413650.67,1e-05,0,,0.35517361629887,1642.92414836262,0.961957943159121,-0.0380420568408789,,,4
"Africa_Southern","Reference",1975,"Static",15695340.5,120.41420289468,0,,0,,0,,0,,,0,,,,,4
"Africa_Western","Reference",1975,"AllUnmanaged",735817729.666534,7.9001099176301,597327568.28,8.26254691749469,111759084.826034,7.85254836092696,26731076.5605,1e-05,121672215.000487,79.1068355456075,0.187098487933251,81.1787409024112,0.950378671290855,-0.0496213287091447,0.918525933185206,0.0992651053068571,5
"Africa_Western","Reference",1975,"AllUnmanagedForest",215944551.467,9.6097221920844,187434920.8,9.70104363798916,26238341.29,9.78921559775953,2271289.377,1e-05,0,,0.13998640796502,86.7977078035438,1.00908891486944,0.00908891486943655,,,5
"Africa_Western","Reference",1975,"AllUnmanagedGrass",488600686.496534,7.33072403931516,389864495.52,7.66647525350343,80990053.3760336,7.32077692044622,17746137.6005,1e-05,0,,0.207738981894233,79.7920482501749,0.95490778726518,-0.0450922127348206,,,5
"Africa_Western","Reference",1975,"AllUnmanagedShrub",31272491.703,4.99087180422857,20028151.96,6.40329697892864,4530690.16,6.14271204389465,6713649.583,1e-05,0,,0.226216086688809,64.0439916019825,0.959304568272954,-0.0406954317270458,,,5
"Africa_Western","Reference",1975,"Cropland",79117486.1534873,28.8620484847097,0,,0,,0,,0,,,0,,,,,5
"Africa_Western","Reference",1975,"ManagedForest",21040843,298.068584371633,187434920.8,9.70104363798916,26238341.29,9.78921559775953,2271289.377,1e-05,0,,0.13998640796502,890.81469216799,1.00908891486944,0.00908891486943655,,,5
"Africa_Western","Reference",1975,"Pasture",21513885.847,49.7351757733009,389864495.52,7.66647525350343,80990053.3760336,7.32077692044622,17746137.6005,1e-05,0,,0.207738981894233,1812.15284998997,0.95490778726518,-0.0450922127348206,,,5
